Antigen,Antigen,Antigen,Antigen,Antigen
"Probable dehydrogenase. Possible 2-enoyl acyl-CoA hydratase","Mycobacterium tuberculosis","4","4","1"
"Uncharacterized protein (UniProt:O05833)","Mycobacterium tuberculosis","2","2","1"
"CRISPR system Cms protein Csm2","Mycobacterium tuberculosis","2","2","1"
"Chromatin modification-related protein MEAF6 (UniProt:Q9HAF1)","Homo sapiens (human)","10","29","17"
"Possible epoxide hydrolase EphF (Epoxide hydratase) (Arene-oxide hydratase)","Mycobacterium tuberculosis","4","4","1"
"Intracellular chorismate mutase","Mycobacterium tuberculosis","2","2","1"
"Pyridoxal 5'-phosphate synthase subunit PdxS","Mycobacterium tuberculosis","4","4","1"
"Uncharacterized protein (UniProt:O06238)","Mycobacterium tuberculosis","2","2","1"
"Universal stress protein Rv2028c","Mycobacterium tuberculosis","4","4","1"
"Conserved protein (UniProt:P71839)","Mycobacterium tuberculosis","2","2","1"
"Volume-regulated anion channel subunit LRRC8D","Homo sapiens (human)","82","133","39"
"Possible transcriptional regulatory protein (Possibly TetR/AcrR-family)","Mycobacterium tuberculosis","3","3","1"
"Uncharacterized protein Rv2272","Mycobacterium tuberculosis","2","2","1"
"Uncharacterized protein (UniProt:I6XFT2)","Mycobacterium tuberculosis","2","2","1"
"Probable cellulase CelA2b (Endo-1,4-beta-glucanase) (Endoglucanase) (Carboxymethyl cellulase)","Mycobacterium tuberculosis","2","2","1"
"Conserved protein (UniProt:O33270)","Mycobacterium tuberculosis","4","4","1"
"Centrosomal protein of 164 kDa","Homo sapiens (human)","49","92","29"
"Bridging integrator 3 (UniProt:Q9NQY0)","Homo sapiens (human)","19","45","23"
"Probable integral membrane protein (UniProt:O06540)","Mycobacterium tuberculosis","5","5","1"
"Uncharacterized protein Rv1276c","Mycobacterium tuberculosis","1","1","1"
"PE-PGRS family protein PE_PGRS50","Mycobacterium tuberculosis","1","1","1"
"Molybdopterin synthase catalytic subunit 1","Mycobacterium tuberculosis","2","2","1"
"Conserved hypothetical integral membrane protein YrbE2A","Mycobacterium tuberculosis","4","4","1"
"Probable respiratory nitrate reductase (Beta chain) NarH","Mycobacterium tuberculosis","8","8","1"
"TRAF3-interacting JNK-activating modulator (UniProt:Q9Y228)","Homo sapiens (human)","42","79","24"
"Glutamine--tRNA ligase (UniProt:P47897)","Homo sapiens (human)","77","270","23"
"Glutamine--tRNA ligase (UniProt:B4DDN1)","Homo sapiens (human)","37","65","22"
"ADP-ribosylation factor-like protein 6-interacting protein 4","Homo sapiens (human)","13","25","11"
"ADP-ribosylation factor-like protein 6-interacting protein 4 (Fragment)","Homo sapiens (human)","7","9","6"
"Uncharacterized protein Rv1549","Mycobacterium tuberculosis","3","5","1"
"Conserved protein (UniProt:I6Y9E8)","Mycobacterium tuberculosis","2","2","1"
"Possible DNA-methyltransferase (Modification methylase)","Mycobacterium tuberculosis","2","2","1"
"Uncharacterized protein C15orf39 (Fragment)","Homo sapiens (human)","23","52","17"
"Uncharacterized ABC transporter ATP-binding protein Rv0986","Mycobacterium tuberculosis","4","4","1"
"dTDP-4-amino-4,6-dideoxyglucose formyltransferase","Mycobacterium tuberculosis","3","3","1"
"Putative heat shock protein HSP 90-alpha A4","Homo sapiens (human)","46","217","8"
"Ribonuclease VapC9","Mycobacterium tuberculosis","2","2","1"
"Uncharacterized protein (UniProt:Q8YDJ3)","Brucella melitensis","3","6","1"
"Nucleoside diphosphate kinase","Mycobacterium tuberculosis","2","2","1"
"Nck-associated protein 5 (UniProt:O14513)","Homo sapiens (human)","6","9","5"
"Cytokinin riboside 5'-monophosphate phosphoribohydrolase","Mycobacterium tuberculosis","4","4","1"
"Ankyrin repeat and SOCS box protein 8 (UniProt:F5GYF0)","Homo sapiens (human)","3","5","4"
"Uncharacterized protein Rv3127","Mycobacterium tuberculosis","5","5","1"
"Uncharacterized protein (UniProt:Q6MX20)","Mycobacterium tuberculosis","2","2","1"
"30S ribosomal protein S4","Mycobacterium tuberculosis","3","3","1"
"GTPase Der","Mycobacterium tuberculosis","7","7","1"
"Uncharacterized protein (UniProt:O06364)","Mycobacterium tuberculosis","2","2","1"
"L,D-transpeptidase 1","Mycobacterium tuberculosis","5","6","3"
"RNA polymerase sigma factor SigF","Mycobacterium tuberculosis","4","4","1"
"Sec translocon accessory complex subunit YajC","Mycobacterium tuberculosis","2","2","1"
"Uncharacterized protein (UniProt:L7N685)","Mycobacterium tuberculosis","2","2","1"
"DUF2236 domain-containing protein (UniProt:O53682)","Mycobacterium tuberculosis","5","5","1"
"Uncharacterized protein Rv1591","Mycobacterium tuberculosis","3","3","1"
"Probable transposase (UniProt:I6X9N4)","Mycobacterium tuberculosis","2","2","1"
"Probable bifunctional cobalamin biosynthesis protein CobU: cobinamide kinase + cobinamide phosphate guanylyltransferase","Mycobacterium tuberculosis","1","1","1"
"Uncharacterized HTH-type transcriptional regulator Rv1556","Mycobacterium tuberculosis","3","3","1"
"Putative 8-oxo-dGTP diphosphatase 2","Mycobacterium tuberculosis","2","2","1"
"Uncharacterized protein Rv1498c","Mycobacterium tuberculosis","4","4","1"
"Dihydrofolate reductase","Mycobacterium tuberculosis","2","2","1"
"Leukocyte receptor cluster member 8 (UniProt:Q96PV6)","Homo sapiens (human)","25","112","19"
"Leukocyte receptor cluster member 8 (UniProt:C9JMY0)","Homo sapiens (human)","34","71","32"
"Phosphatidylinositol-3-phosphatase","Mycobacterium tuberculosis","5","5","1"
"Coiled-coil domain-containing protein 106 (UniProt:K7EMI9)","Homo sapiens (human)","2","2","2"
"Coiled-coil domain-containing protein 106 (UniProt:Q9BWC9)","Homo sapiens (human)","10","22","13"
"Antitoxin VapB30","Mycobacterium tuberculosis","2","2","1"
"Uncharacterized protein (UniProt:P95233)","Mycobacterium tuberculosis","7","7","1"
"Endonuclease III","Mycobacterium tuberculosis","4","4","1"
"Uncharacterized protein (UniProt:I6XWK6)","Mycobacterium tuberculosis","5","5","1"
"Carbonic anhydrase 2","Mycobacterium tuberculosis","3","3","1"
"Cytochrome b5 type B (UniProt:H3BUX2)","Homo sapiens (human)","1","2","2"
"HTH-type transcriptional regulator KmtR","Mycobacterium tuberculosis","2","2","1"
"Uncharacterized protein Rv1324","Mycobacterium tuberculosis","7","7","1"
"YEATS domain-containing protein 4 (UniProt:O95619)","Homo sapiens (human)","41","145","37"
"Serine/threonine-protein kinase LATS1","Homo sapiens (human)","53","152","42"
"Uncharacterized protein (UniProt:O06195)","Mycobacterium tuberculosis","4","4","2"
"Uncharacterized protein Rv1289","Mycobacterium tuberculosis","3","3","1"
"Conserved protein (UniProt:O05296)","Mycobacterium tuberculosis","6","6","1"
"PhoH-like protein","Mycobacterium tuberculosis","7","7","1"
"Putative oxidoreductase GLYR1 (Fragment) (UniProt:K7EMM8)","Homo sapiens (human)","30","58","11"
"Putative oxidoreductase GLYR1","Homo sapiens (human)","63","266","38"
"Survival of motor neuron-related-splicing factor 30","Homo sapiens (human)","32","121","36"
"UPF0167 protein Rv2295","Mycobacterium tuberculosis","3","3","1"
"Probable oxidoreductase (UniProt:I6XUD2)","Mycobacterium tuberculosis","2","2","1"
"Probable low-affinity inorganic phosphate transporter","Mycobacterium tuberculosis","6","6","1"
"Uncharacterized protein (UniProt:Q8YDX0)","Brucella melitensis","3","6","1"
"Transcription intermediary factor 1-beta (Fragment) (UniProt:M0R0K9)","Homo sapiens (human)","28","52","20"
"Phospholipid-transporting ATPase IB","Homo sapiens (human)","12","28","10"
"Cytidine deaminase","Mycobacterium tuberculosis","2","2","1"
"Probable membrane protein (UniProt:O53918)","Mycobacterium tuberculosis","2","2","1"
"Probable dipeptide-transport integral membrane protein ABC transporter DppB","Mycobacterium tuberculosis","5","5","1"
"CRISPR-associated endonuclease Cas1","Mycobacterium tuberculosis","5","5","1"
"Uncharacterized protein (UniProt:Q8YBK7)","Brucella melitensis","3","6","1"
"Cystathionine gamma-synthase","Mycobacterium tuberculosis","6","6","1"
"Uncharacterized protein Rv1509","Mycobacterium tuberculosis","4","4","1"
"5'-methylthioadenosine/S-adenosylhomocysteine nucleosidase","Mycobacterium tuberculosis","5","5","1"
"2'-5'-oligoadenylate synthase 2 (UniProt:P29728)","Homo sapiens (human)","71","220","38"
"2'-5'-oligoadenylate synthase 2 (UniProt:A0A087X0V5)","Homo sapiens (human)","105","135","16"
"Conserved protein (UniProt:O05848)","Mycobacterium tuberculosis","5","5","1"
"Cell division control protein 42 homolog (Fragment) (UniProt:Q5JYX0)","Homo sapiens (human)","1","1","1"
"Cell division control protein 42 homolog (UniProt:P60953)","Homo sapiens (human)","121","525","39"
"Mycothiol S-conjugate amidase","Mycobacterium tuberculosis","4","4","1"
"Leupaxin (UniProt:O60711)","Homo sapiens (human)","45","126","29"
"Leupaxin (UniProt:B7Z5P7)","Homo sapiens (human)","21","45","12"
"Probable conserved transmembrane protein (UniProt:O69637)","Mycobacterium tuberculosis","3","3","1"
"BTB/POZ domain-containing protein KCTD14","Homo sapiens (human)","7","10","9"
"Ribosomal protein S6 kinase (UniProt:E9PGT3)","Homo sapiens (human)","8","15","4"
"Conserved protein (UniProt:P71757)","Mycobacterium tuberculosis","6","6","1"
"Probable conserved transmembrane protein (UniProt:O53503)","Mycobacterium tuberculosis","3","3","1"
"UPF0098 protein Rv1910c","Mycobacterium tuberculosis","6","6","1"
"Conserved protein (UniProt:O33249)","Mycobacterium tuberculosis","3","3","1"
"Possible transcriptional regulatory protein (Probably TetR-family) (UniProt:P96941)","Mycobacterium tuberculosis","3","3","1"
"Uncharacterized protein (UniProt:I6XW93)","Mycobacterium tuberculosis","3","3","1"
"Possible membrane protein (UniProt:O33309)","Mycobacterium tuberculosis","2","2","1"
"Microtubule-associated protein RP/EB family member 1","Homo sapiens (human)","64","275","51"
"Cyclin-dependent kinase 14 (UniProt:E7EUK8)","Homo sapiens (human)","2","2","2"
"Cyclin-dependent kinase 17 (UniProt:Q00537)","Homo sapiens (human)","52","135","43"
"Orotidine 5'-phosphate decarboxylase","Mycobacterium tuberculosis","5","5","1"
"Demethylmenaquinone methyltransferase","Mycobacterium tuberculosis","3","3","1"
"Probable conserved transmembrane protein (UniProt:O05904)","Mycobacterium tuberculosis","3","3","1"
"tRNA_edit domain-containing protein","Mycobacterium tuberculosis","2","2","1"
"Probable membrane protein (UniProt:O86314)","Mycobacterium tuberculosis","5","5","1"
"Uncharacterized protein (UniProt:P96267)","Mycobacterium tuberculosis","3","3","1"
"Possible ketoacyl reductase","Mycobacterium tuberculosis","5","5","1"
"Sulfur carrier protein FdhD","Mycobacterium tuberculosis","4","4","1"
"Uncharacterized protein (UniProt:O06816)","Mycobacterium tuberculosis","2","2","1"
"Putative secreted protein Rv0236.1","Mycobacterium tuberculosis","2","2","1"
"HTH-type transcriptional repressor Rv3405c","Mycobacterium tuberculosis","3","3","1"
"Uncharacterized PPE family protein PPE58","Mycobacterium tuberculosis","2","2","1"
"Uncharacterized protein (UniProt:I6X562)","Mycobacterium tuberculosis","2","2","1"
"Ribonuclease VapC4","Mycobacterium tuberculosis","2","2","1"
"Choline-phosphate cytidylyltransferase A (UniProt:C9JEJ2)","Homo sapiens (human)","3","3","1"
"Uncharacterized MFS-type transporter EfpA","Mycobacterium tuberculosis","9","9","2"
"U6 snRNA-associated Sm-like protein LSm6","Homo sapiens (human)","26","49","17"
"NSFL1 cofactor p47 (UniProt:Q9UNZ2)","Homo sapiens (human)","75","239","51"
"Uncharacterized HTH-type transcriptional regulator Rv1830","Mycobacterium tuberculosis","3","3","1"
"Adenylosuccinate synthetase","Mycobacterium tuberculosis","6","6","1"
"Possible acyltransferase (UniProt:O07808)","Mycobacterium tuberculosis","4","4","1"
"FUN14 domain-containing protein 1","Homo sapiens (human)","14","34","22"
"2'-5'-oligoadenylate synthase 1 (UniProt:P00973)","Homo sapiens (human)","71","195","35"
"2'-5'-oligoadenylate synthase 1 (Fragment)","Homo sapiens (human)","5","5","1"
"2'-5'-oligoadenylate synthase 1 (UniProt:F8VXY3)","Homo sapiens (human)","29","63","17"
"Pyrin (UniProt:O15553)","Homo sapiens (human)","5","9","7"
"Pyrin (UniProt:F5GZV9)","Homo sapiens (human)","1","1","1"
"Putative antitoxin VapB12","Mycobacterium tuberculosis","2","2","1"
"Uncharacterized protein (UniProt:Q6MX36)","Mycobacterium tuberculosis","2","2","1"
"GPI mannosyltransferase 1","Homo sapiens (human)","16","38","15"
"Putative amino-acid transporter Rv0488","Mycobacterium tuberculosis","3","3","1"
"BTB/POZ domain-containing protein KCTD17 (UniProt:A0A087WX35)","Homo sapiens (human)","5","5","4"
"BTB/POZ domain-containing protein KCTD17 (UniProt:Q8N5Z5)","Homo sapiens (human)","8","21","10"
"Uncharacterized protein (UniProt:O06270)","Mycobacterium tuberculosis","2","2","1"
"Possible exported protein (UniProt:P96923)","Mycobacterium tuberculosis","4","4","1"
"Ribonuclease VapC23","Mycobacterium tuberculosis","2","2","1"
"Uncharacterized protein Rv1824","Mycobacterium tuberculosis","2","2","1"
"Uncharacterized protein (UniProt:O53630)","Mycobacterium tuberculosis","2","2","1"
"Monocarboxylate transporter 3","Homo sapiens (human)","4","7","7"
"Alkyl hydroperoxide reductase C","Mycobacterium tuberculosis","3","3","1"
"Guanylate kinase","Mycobacterium tuberculosis","3","3","1"
"Transcriptional regulator Rv3488","Mycobacterium tuberculosis","2","2","1"
"Rubredoxin (UniProt:I6YFL7)","Mycobacterium tuberculosis","2","2","1"
"Possible oxidase regulatory-related protein","Mycobacterium tuberculosis","3","3","1"
"Possible integral membrane protein (UniProt:O65935)","Mycobacterium tuberculosis","3","3","1"
"Uncharacterized protein (UniProt:O05580)","Mycobacterium tuberculosis","2","2","1"
"Type III pantothenate kinase","Mycobacterium tuberculosis","3","3","1"
"Putative antitoxin HigA2","Mycobacterium tuberculosis","2","2","1"
"50S ribosomal protein L34","Mycobacterium tuberculosis","2","2","1"
"Possible acetyl-CoA acetyltransferase (Acetoacetyl-CoA thiolase)","Mycobacterium tuberculosis","3","3","1"
"Uncharacterized protein (UniProt:P71646)","Mycobacterium tuberculosis","1","1","1"
"dCTP deaminase, dUMP-forming","Mycobacterium tuberculosis","4","4","1"
"Cyclin-G1 (UniProt:P51959)","Homo sapiens (human)","42","105","32"
"Musculin","Homo sapiens (human)","21","56","19"
"Inositol-pentakisphosphate 2-kinase","Homo sapiens (human)","18","64","25"
"PPE family protein PPE5","Mycobacterium tuberculosis","5","5","1"
"Uncharacterized protein (UniProt:O50382)","Mycobacterium tuberculosis","3","3","1"
"Regulator of G-protein signaling 2","Homo sapiens (human)","23","118","31"
"Conserved integral membrane protein YrbE4A. Possible ABC transporter","Mycobacterium tuberculosis","4","4","1"
"Uncharacterized protein Rv1342c","Mycobacterium tuberculosis","2","2","1"
"Uncharacterized protein (UniProt:I6YEE9)","Mycobacterium tuberculosis","3","3","1"
"Origin recognition complex subunit 3","Homo sapiens (human)","71","222","45"
"Probable NAD(P) transhydrogenase (Subunit alpha) PntAb [second part integral membrane protein] (Pyridine nucleotide transhydrogenase subunit alpha) (Nicotinamide nucleotide transhydrogenase subunit...","Mycobacterium tuberculosis","2","2","1"
"ESX-1 secretion-associated protein EspH","Mycobacterium tuberculosis","2","2","1"
"Putative peroxiredoxin Rv1608c","Mycobacterium tuberculosis","2","2","1"
"PE-PGRS family protein PE_PGRS2","Mycobacterium tuberculosis","1","1","1"
"Sulfur carrier protein CysO","Mycobacterium tuberculosis","2","2","1"
"UPF0047 protein Rv2556c","Mycobacterium tuberculosis","2","2","1"
"Probable conserved integral membrane protein (UniProt:I6Y2I9)","Mycobacterium tuberculosis","4","4","1"
"Uncharacterized protein (UniProt:O53711)","Mycobacterium tuberculosis","9","10","3"
"G-protein coupled receptor 20","Homo sapiens (human)","1","2","2"
"Uncharacterized HIT-like protein Rv0759c","Mycobacterium tuberculosis","2","2","1"
"Gamma-interferon-inducible protein 16 (UniProt:A0A0A0MRB1)","Homo sapiens (human)","2","2","1"
"Constitutive coactivator of peroxisome proliferator-activated receptor gamma (UniProt:A0A0D9SEJ5)","Homo sapiens (human)","21","49","16"
"Constitutive coactivator of peroxisome proliferator-activated receptor gamma (UniProt:Q96EK7)","Homo sapiens (human)","28","53","19"
"Constitutive coactivator of peroxisome proliferator-activated receptor gamma (UniProt:F5GY05)","Homo sapiens (human)","40","120","17"
"Uncharacterized protein (UniProt:O86364)","Mycobacterium tuberculosis","2","2","1"
"Possible transcriptional regulatory protein (Probably TetR-family) (UniProt:O05892)","Mycobacterium tuberculosis","3","3","1"
"Uncharacterized protein (UniProt:O53733)","Mycobacterium tuberculosis","4","7","1"
"Homologous-pairing protein 2 homolog","Homo sapiens (human)","7","23","17"
"Putative lipoprotein LppK","Mycobacterium tuberculosis","4","4","2"
"ECF RNA polymerase sigma factor SigM","Mycobacterium tuberculosis","2","2","1"
"ESAT-6-like protein EsxF","Mycobacterium tuberculosis","2","2","1"
"Probable molybdenum cofactor biosynthesis protein MoeB2 (MPT-synthase sulfurylase) (Molybdopterin synthase sulphurylase)","Mycobacterium tuberculosis","6","6","1"
"Possible methyltransferase (Methylase) (UniProt:I6XFS7)","Mycobacterium tuberculosis","3","3","1"
"Conserved protein (UniProt:O07408)","Mycobacterium tuberculosis","2","2","1"
"Uncharacterized protein Rv2929","Mycobacterium tuberculosis","2","2","1"
"Trk system potassium uptake protein TrkA","Mycobacterium tuberculosis","3","3","1"
"Conserved protein (UniProt:O06409)","Mycobacterium tuberculosis","2","2","1"
"Uncharacterized protein (UniProt:O06300)","Mycobacterium tuberculosis","3","3","1"
"Zinc uptake regulation protein","Mycobacterium tuberculosis","3","3","1"
"Transcription elongation factor GreA","Mycobacterium tuberculosis","2","2","1"
"Probable acyl-CoA dehydrogenase FadE15","Mycobacterium tuberculosis","9","9","1"
"Aspartate 1-decarboxylase","Mycobacterium tuberculosis","2","2","1"
"Uncharacterized protein (UniProt:O53776)","Mycobacterium tuberculosis","4","4","1"
"Transmembrane protein 214 (UniProt:Q6NUQ4)","Homo sapiens (human)","84","354","53"
"Transmembrane protein 214 (UniProt:H7C0H8)","Homo sapiens (human)","2","2","1"
"Voltage-dependent R-type calcium channel subunit alpha-1E","Homo sapiens (human)","43","62","17"
"Voltage-dependent R-type calcium channel subunit alpha","Homo sapiens (human)","10","17","11"
"Conserved hypothetical alanine and proline-rich protein","Mycobacterium tuberculosis","2","2","1"
"LIM domain-containing protein 2","Homo sapiens (human)","32","96","28"
"E3 ubiquitin-protein ligase XIAP","Homo sapiens (human)","31","113","35"
"Glucose-6-phosphate 1-dehydrogenase","Homo sapiens (human)","79","167","45"
"L-lactate dehydrogenase (UniProt:A0A3B3IS95)","Homo sapiens (human)","10","15","3"
"L-lactate dehydrogenase (UniProt:A0A087WUM2)","Homo sapiens (human)","8","9","5"
"L-lactate dehydrogenase A-like 6B","Homo sapiens (human)","11","31","6"
"E3 ubiquitin-protein ligase RNF38","Homo sapiens (human)","23","90","34"
"Golgi-associated PDZ and coiled-coil motif containing protein transcript variant 3","Homo sapiens (human)","3","3","2"
"50S ribosomal protein L27","Mycobacterium tuberculosis","2","2","1"
"Uncharacterized membrane protein Rv2637","Mycobacterium tuberculosis","3","3","1"
"Interferon regulatory factor 1 (Fragment)","Homo sapiens (human)","8","16","9"
"Interferon regulatory factor 1","Homo sapiens (human)","31","183","37"
"Tyrosine-protein kinase JAK3","Homo sapiens (human)","97","268","49"
"Precorrin-6Y C(5,15)-methyltransferase [decarboxylating]","Mycobacterium tuberculosis","3","3","1"
"Probable carbon monoxyde dehydrogenase (Medium chain)","Mycobacterium tuberculosis","5","5","1"
"RWD domain-containing protein 4","Homo sapiens (human)","27","48","16"
"Possible transcriptional regulatory protein (UniProt:O06299)","Mycobacterium tuberculosis","4","4","1"
"Xaa-Pro dipeptidase","Homo sapiens (human)","52","255","38"
"Mis18-binding protein 1","Homo sapiens (human)","54","180","40"
"Unconventional myosin-XIX","Homo sapiens (human)","27","84","38"
"Microtubule organization protein AKNA","Homo sapiens (human)","81","238","41"
"Rho GTPase-activating protein 21 (UniProt:A0A087WW76)","Homo sapiens (human)","4","4","2"
"Rho GTPase-activating protein 21 (UniProt:A0A1B0GV73)","Homo sapiens (human)","4","4","1"
"Rho GTPase-activating protein 21 (UniProt:Q5T5U3)","Homo sapiens (human)","36","120","29"
"Rho GTPase-activating protein 23","Homo sapiens (human)","19","34","18"
"Arfaptin-1","Homo sapiens (human)","53","139","38"
"Protein farnesyltransferase subunit beta (UniProt:P49356)","Homo sapiens (human)","10","38","10"
"Protein farnesyltransferase subunit beta (UniProt:B4DL54)","Homo sapiens (human)","19","48","23"
"INO80 complex subunit E (UniProt:Q8NBZ0)","Homo sapiens (human)","16","63","24"
"INO80 complex subunit E (UniProt:J3KNE2)","Homo sapiens (human)","5","16","12"
"INO80 complex subunit E (UniProt:I3NI13)","Homo sapiens (human)","2","2","2"
"AP-2 complex subunit mu (UniProt:A0A087WY71)","Homo sapiens (human)","7","12","5"
"AP-2 complex subunit mu (UniProt:E9PFW3)","Homo sapiens (human)","8","15","2"
"Uncharacterized protein Rv0090","Mycobacterium tuberculosis","5","5","1"
"Ribonuclease VapC37","Mycobacterium tuberculosis","2","2","1"
"Conserved protein (UniProt:O53961)","Mycobacterium tuberculosis","2","2","1"
"Probable transcriptional regulator WhiB7","Mycobacterium tuberculosis","2","2","1"
"Possible flavoprotein (UniProt:L0TBY6)","Mycobacterium tuberculosis","2","2","1"
"Group 1 truncated hemoglobin GlbN","Mycobacterium tuberculosis","2","2","1"
"Probable transport accessory protein MmpS2","Mycobacterium tuberculosis","2","2","1"
"Putative ATPase Rv3679","Mycobacterium tuberculosis","7","7","2"
"Putative esterase Rv1847","Mycobacterium tuberculosis","4","4","1"
"Probable lipoprotein LpqX","Mycobacterium tuberculosis","3","3","1"
"Uncharacterized protein Rv0572c","Mycobacterium tuberculosis","2","2","1"
"Uncharacterized protein Rv1419","Mycobacterium tuberculosis","4","4","1"
"Uncharacterized protein Rv0500B","Mycobacterium tuberculosis","2","2","1"
"Probable carboxylesterase Culp7","Mycobacterium tuberculosis","4","4","1"
"HNHc domain-containing protein (UniProt:O53196)","Mycobacterium tuberculosis","5","5","1"
"Conserved protein (UniProt:O06194)","Mycobacterium tuberculosis","3","3","1"
"Putative acyl-[acyl-carrier-protein] desaturase DesA1","Mycobacterium tuberculosis","6","7","2"
"Probable integral membrane protein (UniProt:O50384)","Mycobacterium tuberculosis","3","4","1"
"Ubiquitin carboxyl-terminal hydrolase 36 (UniProt:Q9P275)","Homo sapiens (human)","18","41","10"
"Ubiquitin carboxyl-terminal hydrolase (UniProt:E9PEW0)","Homo sapiens (human)","3","4","3"
"Uncharacterized membrane protein Rv3486","Mycobacterium tuberculosis","2","2","1"
"Cyclin-dependent kinase-like 2","Homo sapiens (human)","2","3","3"
"Possible transcriptional regulatory protein (Probably Lrp/AsnC-family)","Mycobacterium tuberculosis","3","3","1"
"Probable conserved membrane protein (UniProt:O53748)","Mycobacterium tuberculosis","2","2","1"
"Uncharacterized protein Rv0481c","Mycobacterium tuberculosis","3","3","1"
"Antitoxin ParD1","Mycobacterium tuberculosis","2","2","1"
"Putative acyl-[acyl-carrier-protein] desaturase DesA2","Mycobacterium tuberculosis","4","4","1"
"50S ribosomal protein L16","Mycobacterium tuberculosis","2","2","1"
"Redox- and pH-responsive transcriptional regulator WhiB3","Mycobacterium tuberculosis","3","3","1"
"Chromosome transmission fidelity protein 18 homolog (UniProt:E7EXA6)","Homo sapiens (human)","11","17","10"
"Chromosome transmission fidelity protein 18 homolog (UniProt:Q8WVB6)","Homo sapiens (human)","25","52","19"
"Adenine phosphoribosyltransferase (Fragment)","Homo sapiens (human)","19","34","17"
"2-amino-4-hydroxy-6-hydroxymethyldihydropteridine pyrophosphokinase","Mycobacterium tuberculosis","4","4","1"
"H/ACA ribonucleoprotein complex subunit DKC1 (Fragment) (UniProt:H7C2Q2)","Homo sapiens (human)","2","2","1"
"Uncharacterized protein Rv0048c","Mycobacterium tuberculosis","1","1","1"
"Glutathione S-transferase kappa","Homo sapiens (human)","13","15","8"
"Glutathione S-transferase kappa 1","Homo sapiens (human)","100","328","39"
"Possible conserved membrane protein (UniProt:I6YGT7)","Mycobacterium tuberculosis","3","3","1"
"Kelch repeat and BTB domain-containing protein 7","Homo sapiens (human)","34","111","29"
"Kelch repeat and BTB domain-containing protein 6","Homo sapiens (human)","38","184","31"
"Possible transcriptional regulatory protein (UniProt:I6Y187)","Mycobacterium tuberculosis","3","3","1"
"Queuine tRNA-ribosyltransferase catalytic subunit 1 (Fragment) (UniProt:K7ESP6)","Homo sapiens (human)","1","1","1"
"Uncharacterized protein Rv1414","Mycobacterium tuberculosis","2","2","1"
"Uncharacterized protein (UniProt:P96247)","Mycobacterium tuberculosis","2","2","1"
"NUT family member 1","Homo sapiens (human)","12","20","7"
"Probable transport accessory protein MmpS1","Mycobacterium tuberculosis","2","2","1"
"Calcium homeostasis endoplasmic reticulum protein (UniProt:J3QK89)","Homo sapiens (human)","9","10","3"
"Ubiquitin-associated domain-containing protein 2 (Fragment)","Homo sapiens (human)","4","5","3"
"Ubiquitin-associated domain-containing protein 2","Homo sapiens (human)","25","137","38"
"Polynucleotide 5'-hydroxyl-kinase NOL9","Homo sapiens (human)","55","243","37"
"Conserved hypothetical membrane protein (UniProt:O86316)","Mycobacterium tuberculosis","3","3","1"
"50S ribosomal protein L3","Mycobacterium tuberculosis","3","3","1"
"Probable conserved transmembrane protein (UniProt:P95210)","Mycobacterium tuberculosis","2","2","1"
"Probable membrane protein (UniProt:Q6MWX4)","Mycobacterium tuberculosis","6","6","1"
"Putative lipoprotein LppA","Mycobacterium tuberculosis","5","5","1"
"Probable polyglutamine synthesis accessory protein Rv0574c","Mycobacterium tuberculosis","7","8","3"
"Uncharacterized protein Rv2310","Mycobacterium tuberculosis","2","2","1"
"AN1-type zinc finger protein 6 (Fragment) (UniProt:H0YME2)","Homo sapiens (human)","17","54","23"
"FHA domain-containing protein","Mycobacterium tuberculosis","2","2","1"
"Uncharacterized protein (UniProt:I6YGF8)","Mycobacterium tuberculosis","5","5","1"
"Uncharacterized protein (UniProt:O07206)","Mycobacterium tuberculosis","2","2","1"
"Uncharacterized protein (UniProt:I6XEF6)","Mycobacterium tuberculosis","3","3","1"
"Uncharacterized protein (UniProt:O07033)","Mycobacterium tuberculosis","2","2","1"
"Cell division protein CrgA","Mycobacterium tuberculosis","2","2","1"
"Uncharacterized protein Rv2206","Mycobacterium tuberculosis","5","5","1"
"Serine protease inhibitor Rv3364c","Mycobacterium tuberculosis","2","2","1"
"Uncharacterized protein (UniProt:Q79FC4)","Mycobacterium tuberculosis","2","2","1"
"Uncharacterized protein (UniProt:O53813)","Mycobacterium tuberculosis","3","3","1"
"DNA-binding protein Rv2175c","Mycobacterium tuberculosis","2","2","1"
"Uncharacterized protein (UniProt:O53527)","Mycobacterium tuberculosis","4","5","3"
"Uncharacterized protein (UniProt:Q79FG9)","Mycobacterium tuberculosis","1","1","1"
"Antitoxin VapB22","Mycobacterium tuberculosis","3","3","1"
"Uncharacterized protein (UniProt:L0TAY1)","Mycobacterium tuberculosis","3","3","1"
"Conserved protein (UniProt:O05312)","Mycobacterium tuberculosis","2","2","1"
"Probable transmembrane protein (UniProt:I6X961)","Mycobacterium tuberculosis","3","3","1"
"Endoribonuclease MazF3","Mycobacterium tuberculosis","2","2","1"
"Possible transposase (UniProt:Q6MX22)","Mycobacterium tuberculosis","3","3","1"
"HTH hxlR-type domain-containing protein","Mycobacterium tuberculosis","4","4","1"
"Cytochrome bc1 complex cytochrome c subunit","Mycobacterium tuberculosis","5","5","1"
